text,cat
"From: jib@bonnie.jsc.nasa.gov (J. I. Blackshear Jr.)
Subject: DSPSE (was Why Clementine?)
Reply-To: jib@bonnie.jsc.nasa.gov
Organization: Barrios Technology @ NASA/JSC; Houston
Lines: 29

The SDIO has ""contracted"" with the NRL (Naval Research Laboratory) to fly the Clementine Mission.  BTW we call it DSPSE (Deep Space Project Science Experiment).

The NRL is building the spacecraft, designing the detailed mission and doing the
integration and operations (with help from, JPL & Goddard & prob. some folks I
have left out...don't be mad).

I am on the TAMP (Trajectory Analysis & Mission Planning) team and am responsable
for the IV&V of the traj that Goddard/CSC are designing.

As for why SDIO is doing it, some of the reasons are:

   1)  the safety constraints are too tight to try to run the LIDAR in LEO

   2)  in LEO we don't get any new radiation data on the sensors, we will get
       that data on our 9 passages through the Van Allen (sp?) Belts

   3)  since we are going out there...why not piggy-back some general science

   4)  the intercept problem is a lot easied over LONG distances and LONG times

I am sure there are some things I have forgotten, and some I haven't been told
but, those are the reasons we all talk about.

-- 


                                             Jim Blackshear
                                             jib@bonnie.jsc.nasa.gov

",1
"From: wallacen@CS.ColoState.EDU (nathan wallace)
Subject:  ORION space drive
Reply-To: wallacen@CS.ColoState.EDU
Nntp-Posting-Host: beethoven.cs.colostate.edu
Organization: Colorado State University -=- Computer Science Dept.
Lines: 16

An excellent reference for non-technical readers on the ORION system is
""The Starflight Handbook"", by Eugene Mallove and Gregory Matloff, ISBN
0-471-61912-4. The relevant chapter is 4: Nuclear Pulse Propulsion.

The book also contains lots of technical references for the more academically
inclined. 

Enjoy!
---
C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/
C/    Nathan F. Wallace                   C/C/           ""Reality Is""         C/
C/    e-mail: wallacen@cs.colostate.edu   C/C/    ancient Alphaean proverb    C/
C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/C/
 


",1
"From: ajjb@adam4.bnsc.rl.ac.uk (Andrew Broderick)
Subject: DC-X & DC-Y
Organization: Rutherford Appleton Lab, UK
Lines: 15


Hi guys,
	I've been hearing lots of talk on the net about DC-X and DC-Y,
but none of the many posts actually explain what they are !!! Sorry if
this is a FAQ, but would somebody please explain to me what they are.
Reply by Email please . . . thanks.

	Andy

ajjb@adam4.bnsc.rl.ac.uk
-- 
                                  ----------------------------------- 
Andy Jonathan J. Broderick,      | ""I have come that they might have |
Rutherford Lab., UK              |  life, and have it to the full""   |
Mail : ajjb@adam2.bnsc.rl.ac.uk  |  - Jesus Christ                   |
",1
"Subject: Re: islamic authority over women
From: livesey@solntze.wpd.sgi.com (Jon Livesey)
Organization: sgi
NNTP-Posting-Host: solntze.wpd.sgi.com
Lines: 11

In article <1993Apr3.214741.14026@ultb.isc.rit.edu>, snm6394@ultb.isc.rit.edu (S.N. Mozumder ) writes:
>
> My claim is that a person that committs a crime doesn't believe in 
> God, for the moment that the crime is committed, at least, whether 
> they are originally believers or not.  To believe is to do good.  
> Your statistics indicate people that have declared atheism.

And doubtless, when an atheist does an act of charity
they temporarily become a Baptist.

jon. 
",0
"From: jbrown@batman.bmd.trw.com
Subject: Re: Death Penalty / Gulf War
Lines: 128

In article <930414.121019.7E4.rusnews.w165w@mantis.co.uk>, mathew <mathew@mantis.co.uk> writes:
> rush@leland.Stanford.EDU (Voelkerding) writes:
>>In article <1993Apr12.143834.26803@seachg.com> chrisb@seachg.com (Chris
>>Blask) writes:
>>>Add to this the outrageous cost of putting someone to death (special cell
>>>block, years of court costs, extra guards...) and the benefits of the death
>>>penalty entirely disappear.
>> 
>> That's because of your earlier claim that the one innocent death
>> overrides the benefit of all the others.  Obviously it's tragic,  but
>> it is no argument for doing away with the death penalty.  If we went
>> to war and worried about accidentally killing civilians all of the time
>> (because our determination of who the enemy really is is imperfect), then
>> there is no way to win the war.
> 
> Yes.  Fortunately we have right-thinking folks like your good self in power,
> and it was therefore deemed acceptable to slaughter tens or even hundreds of
> thousands of Iraqis in order to liberate oil^H^H^HKuwait.  We won the war,
> hurrah hurrah!

The number of civilian Iraqi deaths were way over-exaggerated and 
exploited for anti-war emotionalism by the liberal news media.  The
facts are that less Iraqis died in the Gulf War than did civilians 
in any other war of comparable size this century!  This was due mostly
to the short duration coupled with precise surgical bombing techniques
which were technically possible only recently.

The idea that ""hundreds of thousands"" of Iraqi citizens died is
ludicrous.  Not even ""hundreds of thousands"" of Iraqi soldiers died,
and they were the ones being targeted!  Or do you think that the US
and its allies were specifically out to kill and maim Iraqi civilians?
Either the smart bombs didn't hit their targets (and we know they did),
or they were targeting civilian targets (!) which is hardly condusive to
destroying Iraq's military potential.  The military mission planners are
not fools, they know they have to hit *military* targets to win a war.
Hitting civilian targets does nothing but unite the people against you,
not a laudable goal if one wants the people to rise up against their
tyrant-dictator. 
> 
> OK, so some innocent people died.  Yes, maybe the unarmed civilians fleeing
> along that road didn't need to be bombed to bits.  Perhaps that kid with half
> his face burned off and the little girl with the mangled legs weren't
> entirely guilty.  But it's worth the death of a few innocents to save the
> oil^H^H^Hlives of the Kuwaiti people, isn't it?  After all, the Iraqis may
> not have had a chance to vote for Saddam, but they showed their acceptance of
> his regime by not assassinating him, right?  All that surrendering and
> fleeing along open roads was just a devious ploy.  We were entirely within
> our rights to bomb 'em just in case, without finding out if they were
> soldiers.

How about all the innocent people who died in blanket-bombing in WW2?
I don't hear you bemoaning them!  War is never an exact science, but
with smart bombs, it's becoming more exact with a smaller percentage
of civilian casualties.  Sometimes mistakes are made; targets are
misidentified; innocents die.  That's war the way it really is.
But the alternative, to allow tyrannical dictators to treat the earth
like it's one big rummage sale, grabbing everything they can get is
worse.  Like Patrick Henry said some 217 years ago, ""I know not what
course others may take -- but as for me, give me liberty, or give me
death!""  War is always the price one must be willing to pay if one
wishes to stay free.   

> 
>> The death penalty was conceived as a deterrent to crime,  but the legal
>> shenanigans that have been added (automatic appeals, lengthy court
>> battles, etc.) have relegated that purpose to a very small part of what
>> it should be.  Hence the question is,  do we instate the death penalty as
>> it was meant to be, and see if that deters crime, or do we get rid of
>> it entirely?
> 
> Yes, let's reinstate the death penalty the way it ought to be.  All that shit
> about fair trials and a court of appeals just gets in the way of justice. 
> Let's give the police the absolute right to gun down the guilty, and save
> ourselves the expense of all those lawyers.
> 
> Think of the knock-on benefits, too.  LA would never have had to spend so
> much money cleaning up after riots and holding showcase trials if the cops
> had been allowed to do their job properly.  A quick bullet through the head
> of Rodney King and another for the cameraman, and everyone would have been
> saved a great deal of unnecessary paperwork and expense.
> 
> After all, if the police decide a man's guilty, that ought to be enough.  The
> fact that the death penalty has been shown not to have any deterrent effect
> over imprisonment, well, that's entirely irrelevant.
> 
> 
> mathew
> -- 

Mathew, your sarcasm is noted but you are completely off-base here.
You come off sounding like a complete peace-nik idiot, although I
feel sure that was not your intent.

So the Iraqi war was wrong, eh?  I'm sure that appeasement would have
worked better than war, just like it did in WW2, eh?  I guess we
shouldn't have fought WW2 either -- just think of all those innocent
German civilians killed in Dresden and Hamburg.  How about all the poor 
French who died in the crossfire because we invaded the continent?  We 
should have just let Hitler take over Europe, and you'd be speaking
German instead of English right now.

Tyrants like Hussein *have* to be stopped.  His kind don't understand
diplomacy; they only understand the point of a gun.  My only regret is
that Bush wimped out and didn't have the military roll into Baghdad, so
now Hussein is still in power and the Iraqi people's sacrifice (not to
mention the 357 Americans who died) was for naught.  Liberating Kuwait 
was a good thing, but wiping Hussein off the map would've been better!

And as for poor, poor Rodney King!  Did you ever stop and think *why*
the jury in the first trial brought back a verdict of ""not guilty""?
Those who have been foaming at the mouth for the blood of those
policemen certainly have looked no further than the video tape.
But the jury looked at *all* the evidence, evidence which you and I
have not seen.  When one makes a judgment without the benefit of a
trial where evidence can be presented on both sides, one has simply
lowered himself to the level of vigilante justice, a state-of-mind
which your sarcasm above seemingly spoke against, but instead tends
to support in the case against the policemen.  

Law in this country is intended to protect the rights of the accused,
whether they be criminals or cops.  One is not found guilty if there is
a reasonable doubt of one's guilt, and only the jury is in a position
to assess the evidence and render a verdict.  Anyone else is simply
succumbing to verbal vigilantism.
       
Regards,

Jim B.
",0
"From: keithley@apple.com (Craig Keithley)
Subject: Re: Moonbase race, NASA resources, why?
Organization: Apple Computer, Inc.
Lines: 44

In article <C5w5un.Bpq@zoo.toronto.edu>, henry@zoo.toronto.edu (Henry
Spencer) wrote:
> 
> The major component of any realistic plan to go to the Moon cheaply (for
> more than a brief visit, at least) is low-cost transport to Earth orbit.
> For what it costs to launch one Shuttle or two Titan IVs, you can develop
> a new launch system that will be considerably cheaper.  (Delta Clipper
> might be a bit more expensive than this, perhaps, but there are less
> ambitious ways of bringing costs down quite a bit.)  

Ah, there's the rub.  And a catch-22 to boot.  For the purposes of a
contest, you'll probably not compete if'n you can't afford the ride to get
there.  And although lower priced delivery systems might be doable, without
demand its doubtful that anyone will develop a new system.  Course, if a
low priced system existed, there might be demand...  

I wonder if there might be some way of structuring a contest to encourage
low cost payload delivery systems.  The accounting methods would probably
be the hardest to work out.  For example, would you allow Rockwell to
'loan' you the engines?  And so forth...

> Any plan for doing
> sustained lunar exploration using existing launch systems is wasting
> money in a big way.
> 

This depends on the how soon the new launch system comes on line.  In other
words, perhaps a great deal of worthwhile technology (life support,
navigation, etc.) could be developed prior to a low cost launch system. 
You wouldn't want to use the expensive stuff forever, but I'd hate to see
folks waiting to do anything until a low cost Mac, oops, I mean launch
system comes on line.

I guess I'd simplify this to say that 'waste' is a slippery concept.  If
your goal is manned lunar exploration in the next 5 years, then perhaps its
not 'wasted' money.  If your goal is to explore the moon for under $500
million, then you should put of this exploration for a decade or so.

Craig


Craig Keithley           |""I don't remember, I don't recall, 
Apple Computer, Inc.     |I got no memory of anything at all""
keithley@apple.com       |Peter Gabriel, Third Album (1980)
",1
"From: David.Anderman@ofa123.fidonet.org
Subject: LRDPA news
X-Sender: newtout 0.08 Feb 23 1993
Lines: 28

        Many of you at this point have seen a copy of the 
Lunar Resources Data Purchase Act by now. This bill, also known as the Back to 
the Moon bill, would authorize the U.S. 
government to purchase lunar science data from private 
and non-profit vendors, selected on the basis of competitive bidding, with an 
aggregate cap on bid awards of $65 million. 
        If you have a copy of the bill, and can't or don't want to go through 
all of the legalese contained in all Federal legislation,don't both - you have 
a free resource to evaluate the bill for you. Your local congressional office, 
listed in the phone book,is staffed by people who can forward a copy of the
bill to legal experts. Simply ask them to do so, and to consider supporting
the Lunar Resources Data Purchase Act. 
        If you do get feedback, negative or positive, from your congressional 
office, please forward it to: David Anderman
3136 E. Yorba Linda Blvd., Apt G-14, Fullerton, CA 92631,
or via E-Mail to: David.Anderman@ofa123.fidonet.org. 
        Another resource is your local chapter of the National Space Society. 
Members of the chapter will be happy to work with you to evaluate and support 
the Back to the Moon bill. For the address and telephone number of the nearest 
chapter to you, please send E-mail, or check the latest issue of Ad Astra, in 
a library near you.
        Finally, if you have requested, and not received, information about
the Back to the Moon bill, please re-send your request. The database for the
bill was recently corrupted, and some information was lost. The authors of the 
bill thank you for your patience.


--- Maximus 2.01wb
",1
"From: wdwells@nyx.cs.du.edu (David ""Fuzzy"" Wells)
Subject: Re: Space Debris
Organization: University of Denver, Dept. of Math & Comp. Sci.
Lines: 6

>There is a guy in NASA Johnson Space Center  that might answer 
>your question. I do not have his name right now but if you follow 
>up I can dig that out for you.

Keesler, Loftus, Potter, Stansbery, Kubriek....?

",1
"From: gene@theporch.raider.net (Gene Wright)
Subject: Re: Why not give $1 billion to first year-long moon residents?
Organization: The MacInteresteds of Nashville, Tn.
Lines: 8

You forget that Apollo was a Government program and had to start 
relatively from scratch. Some people at NASA think that this could work. 
One of them replied to me personally after I posted this original message 
several days ago. I have heard Jerry Pournelle suggest this idea before.

--
  gene@theporch.raider.net (Gene Wright)
theporch.raider.net  615/297-7951 The MacInteresteds of Nashville
",1
"From: bcash@crchh410.NoSubdomain.NoDomain (Brian Cash)
Subject: Re: some thoughts.
Nntp-Posting-Host: crchh410
Organization: BNR, Inc.
Lines: 4

I'm sold!  Where do I sign up?


Brian /-|-\  The next book: ""Charles Manson: Lord, Lunatic, or Liar""
",0
"From: sandvik@newton.apple.com (Kent Sandvik)
Subject: Re: Objective morality (was Re: <Political Atheists?)
Organization: Cookamunga Tourist Bureau
Lines: 14

In article <1qlf7gINN8sn@gap.caltech.edu>, keith@cco.caltech.edu (Keith
Allan Schneider) wrote:
> Which type of morality are you talking about?  In a natural sense, it
> is not at all immoral to harm another species (as long as it doesn't
> adversely affect your own, I guess).

Hehehe, so you say, but this objective morality somehere tells you 
that this is not the case, and you don't know all the rules of such
transcendental game systems...

Cheers,
Kent
---
sandvik@newton.apple.com. ALink: KSAND -- Private activities on the net.
",0
"From: maverick@wpi.WPI.EDU (T. Giaquinto)
Subject: General Information Request
Organization: Worcester Polytechnic Institute, Worcester, MA 01609-2280
Lines: 11
NNTP-Posting-Host: wpi.wpi.edu


	I am looking for any information about the space program.
This includes NASA, the shuttles, history, anything!  I would like to
know if anyone could suggest books, periodicals, even ftp sites for a
novice who is interested in the space program.



					Todd Giaquinto
					maverick@wpi.WPI.EDU
					
",1
"From: tkelso@afit.af.mil (TS Kelso)
Subject: Two-Line Orbital Element Set:  Space Shuttle
Keywords: Space Shuttle, Orbital Elements, Keplerian
Nntp-Posting-Host: scgraph.afit.af.mil
Organization: Air Force Institute of Technology
Lines: 21

The most current orbital elements from the NORAD two-line element sets are
carried on the Celestial BBS, (513) 427-0674, and are updated daily (when
possible).  Documentation and tracking software are also available on this
system.  As a service to the satellite user community, the most current
elements for the current shuttle mission are provided below.  The Celestial
BBS may be accessed 24 hours/day at 300, 1200, 2400, 4800, or 9600 bps using
8 data bits, 1 stop bit, no parity.

Element sets (also updated daily), shuttle elements, and some documentation
and software are also available via anonymous ftp from archive.afit.af.mil
(129.92.1.66) in the directory pub/space.

STS 56     
1 22621U 93 23  A 93105.58333333  .00090711  00000-0  25599-3 0   249
2 22621  57.0029 144.8669 0004136 304.2989 134.3206 15.92851555  1179
1993 023B  
1 22623U 93 23  B 93103.37312705  .00041032  00000-0  11888-3 0    86
2 22623  57.0000 155.1150 0004422 293.4650  66.5967 15.92653917   803
--
Dr TS Kelso                           Assistant Professor of Space Operations
tkelso@afit.af.mil                    Air Force Institute of Technology
",1
"From: 18084TM@msu.edu (Tom)
Subject: Fred and Tom, ad naseum
X-Added: Forwarded by Space Digest
Organization: [via International Space University]
Original-Sender: isu@VACATION.VENARI.CS.CMU.EDU
Distribution: sci
Lines: 189

>>Nick sez;
I'm not very impressed by the old so-called ""prospecting"" work from
LPI, it has almost all been geared towards industrially silly processes on
the moon as an excuse to put astronauts there.   [...]

>>Fred replies;
Translation:  It doesn't support the Nick Szabo Vision of the Future
to Which You MUST Subscribe...

>Tom sez;
Fred, we're all supporting what each of us thinks should be done, to some
degree.  If you have a problem with what Nick thinks should be done,
address it, instead of just complaining about his doing so.

>Fred again;
You really don't get what the 'complaints' are about, do you?
  [not incredibly clear explanation of complaints...something between
   feelings regarding Nick's method, and judgments about his meaning]

T
>>Maybe I'd get it if you said what the complaints are about, rather than
>>doing the same things that you mean to complain about.  When you trash
>>people, how am I supposed to read that as 'trashing people is bad'?

F
>Gee, funny that you get it now, then?  Deliberate obtuseness, perhaps?

*** Fred's issue #1;  Nick's alleged trashing of others ***

I only got it when you stopped trashing, and made your point patently,
instead of 'allegorically'.  That was my point all along, Fred.

>>>>Not only
>>>>do you do the same thing on the net (honestly reporting your ideas
>>>>on matters of policy and projects in space), but your response was just
>>>>baiting, not even part of a debate.

>>>I have yet to see Nick enter into anything remotely resembling ""a
>>>debate"".  I see him flame anyone or anything who disagrees with The
>>>One True Szabo Plan; I see him attacking people, calling them ""lazy
>>>bastard"" because they had the temerity to disagree with the Almight
>>>Nick; I see him questioning peoples ethics, again because they had the
>>>temerity to disagree with Lord God Szabo.  But debate?  BWAAaaahhhaaaa.

>>I'm glad you can laugh, since your ratio of debate/insult is about the same.

>Not even close, Tommy, and generally only when I'm dealing with
>someone like Nick.

I see we are dealing with a problem in a conflict of interpretations, not
least of which is your belief that only you can adequately judge what is
and is not debate.  Suffice to say that I disagree with you on that last
point.  Why don't you take a poll, Fred, if you want some psuedo-objective
point-of-view?

And, as usual, you defend your insults with ""he started it.""  ""Yeah, I
took some of his research and called it my own, but he started it.""  ""So
what if I stole his car, he stole my lawnmower first.""  Besides that, I
think it's still open to interpretation whether Nick actually did start it.
So your defense, besides being lame, and contradicting the first part of
the sentence in which it occurs, may not even apply anyway.

Your defense reminds me of the guy that broke the borrowed tool:  ""I
never borrowed it, I already gave it back, and it was broken when you
gave it to me.""  Make up yer mind, Fred!

>>>>I'm not convinced that people are necessary in all parts of every space-
>>>>based process, and your response doesn't tell me a thing about the
>>>>reasons why you think they should be, except to impune the motives of
>>>>the person with a divergent opinion.

>>>Who said I think they should be, Tommy?  Show me a note where I said
>>>that and I'll eat this terminal.    ****See below, Fred****

>>Fred, I cocluded that you did, since you took issue with it.  The fact
>>that my conclusion was incorrect, i.e. that you were taking issue with
>>something different, is evidence that your communication style is
>>confusing.

>Or evidence that your reading and comprehension style are inadequate.

First, I try to address what I think you meant, for which I am rewarded
with a denial of sorts, and a smart remark.  Then, I point out that I am
not clear what you did mean, rather than risking your childish ire, wrongly
interpreting you a second time, and I'm stupid for it.  I just can't win,
can I, Fred?  You've got a great point here somewhere, it's just that
between stupid people that you must insult, and your jealous guarding of
your valuable opinions, you never actually get around to making it.

>Please quote the 'it' I took issue with.  I believe you will see (if
>you look) that what I was and am taking issue with is Mr Szabo's idea
>that the manned program should be scrapped until such time as his
>toaster-based infrastructure is finished.  All Hail the Szabo Plan!

*** Fred issue #2;  Nick's alleged meaning ***

Too bad the plan only exists in your mind, instead of Nick's, or you
would have a really good point.  Instead you have provided a good reason
to ignore your insults, since they are based on incorrect interpretations
that you have made about others.  Forgive me for giving your insults more
meaning than they ever should have had.

My reading of what Nick actually said is that ""people aren't required in
all parts of all space processes"", so your taking issue with his opinions
regarding people in the space program, I read as ""People are required in
all parts of all space processes.""  So, help me out, here, Fred, since I'm
so patently stupid.  Did you read Nick wrong?  Or are you going to eat
your terminal now?  If the latter, I sure hope it's one of those Cheeto and
string models that all the computer mags have been raving about :-)

The point is, _I_ am not stupid because of _your_ incorrect assumption.  I'd
only be stupid if I insulted you for having made it.  But, alas, that's your
job, Fred.

And, finally, your style is confusing, since you tried to make two points,
simultaneously, with an allegory/insult.  Sadly, one point addressed a 'plan'
that only existed in your mind, and the other took issue with behaviors that
you do as much as anyone.

>More deliberate lack of understanding, Tommy?

No, no, I finally got it.  You don't like the plan that Nick's posts made
you imagine.  And you don't like Nick's obnoxious behavior, even though
it's no worse than your own.  Thanks for taking the time with someone as
dense as myself.

>>>>If you have a problem with Nick's delivery, address that.  The way you
>>>>bait, you're perpetuating the lack of discourse that you complain of.

>>>No, Tommy, the 'bait' is that which elicits the response.  *NICK*
>>>'baits'; I just flame him for being an obnoxious fool.

>>I don't really care who started it.  I read this list to get information
>>and other's views on the issues to which it was dedicated, not to be
>>your Mom (He started it!  No, he did!) or to hear about why Nick is a very
>>bad guy.  If you think flaming is bad, stop flaming, or at least get to
>>the point in the first post, instead of explaining yourself all the time.

>That's nice, Tommy.  When you pay me to post to the net you can
>complain about not getting your money's worth.  Perhaps if you weren't
>(deliberately?) too thick to get the point the first time I wouldn't
>have to waste time ""explaining [myself] all the time""?

Of course, Socrates.  How could it be otherwise?

>I think it's neat how all this criticism from you started after your
>'fatherly' admonitions to me about how such things should be handled
>outside Usenet were somewhat rebuffed.  Being a little hypocritical,
>Tommy (to go with the immaturity)?  Or is this just the pique of a
>net.ghod wannabe who got turned down by someone he *thought* was new
>(and hence could be 'instructed' -- Tommy, I saw you come on the net).

Who cares who came on the net first?  If you do, consider that you saw
me come on after a brief haitus, before which I was on for about 2 years.
If you had seen me on the net first, you'd remember when Nick and I went
down exactly the same road regarding rude, unneccesary behavior.  It's
just amazing to me that you continue to take issue with behavior that's
no worse than your own.

Let's see here, my complaints about your obnoxious behavior are hypocritical,
while your flames against people you decide are flamers isn't, and my
complaints about your name-calling are immature, while your name-calling
isn't.  Yeah, right.  Maybe if you called me some more names, I might
see it better, Fred.

""Net.ghod wannabe""?  Naturally, Fred, you've correctly interpreted my
motivations, when yours are impossible to judge from your actions (as
your insulting of people that try, proves).  I didn't really care about
people that fill the net with personal garbage, what I really wanted was to
impress everyone.  I only put my complaints with your behavior on private
mail, not because it belongs there, but because I thought you were such a
jerk that you'd bring it back to the Net, playing right into my hands.
Alas, I had no idea what an intellectual master you were, turning tables and
bringing the history of these posts to the net, for the noble and valuable
purpose of embarassing me.  Whether I should feel stupid because I tried
to make suggestions to such a superior intellect, or becuase I tried to
communicate like an adult with a self-righteous ass, still isn't clear.

Well, Fred, you exposed me.  Now I'll never be able to get a(nother) job
with NASA, since they all know that I'm stupider than Fred McCall.  Well,
I just hope you're happy.  Please leave me alone, now.  I just don't
have the heart to attempt keeping up with one so far above me.  Maybe Nick
or Pat can approach your high standards, but I'm dropping it now.

-Tommy Mac
-------------------------------------------------------------------------
Tom McWilliams 517-355-2178 wk   \\ As the radius of vision increases,
18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows.
-------------------------------------------------------------------------
",1
"From: mccullou@snake2.cs.wisc.edu (Mark McCullough)
Subject: Re: Idle questions for fellow atheists
Organization: University of Wisconsin, Madison -- Computer Sciences Dept.
Lines: 43

In article <1993Apr5.124216.4374@mac.cc.macalstr.edu> acooper@mac.cc.macalstr.edu writes:
>
>I wonder how many atheists out there care to speculate on the face of the world
>if atheists were the majority rather than the minority group of the population. 

Probably we would have much the same problems with only a slight shift in
emphasis.  Weekends might not be so inviolate (more common to work 7 days
a week in a business), and instead of American Atheists, we would have
similar, religious organizations.  A persons religious belief seems more
as a crutch and justification for actions than a guide to determine actions.
Of course, people would have to come up with more fascinating 
rationalizations for their actions, but that could be fun to watch...

It seems to me, that for most people, religion in America doesn't matter
that much.  You have extreemists on both ends, but a large majority don't
make too much of an issue about it as long as you don't.  Now, admittedly,
I have never had to suffer the ""Bible Belt"", but I am just north of it
and see the fringes, and the reasonable people in most things tend to be
reasonable in religion as well.  


>Also, how many atheists out there would actually take the stance and accor a
>higher value to their way of thinking over the theistic way of thinking.  The
>typical selfish argument would be that both lines of thinking evolved from the
>same inherent motivation, so one is not, intrinsically, different from the
>other, qualitatively.  But then again a measuring stick must be drawn
>somewhere, and if we cannot assign value to a system of beliefs at its core,
>than the only other alternative is to apply it to its periphery; ie, how it
>expresses its own selfishness.
>

I don't bother according a higher value to my thinking, or just about
anybodys thinking.  I don't want to fall in that trap.  Because if you 
do start that, then you are then to decide which is better, says whom,
why, is there a best, and also what to do about those who have inferior
modes of thinking.  IDIC  (Infinite Diversity in Infinite Combinations.)
I'll argue it over a soda, but not over much more.

Just my $.12  (What inflation has done...)

M^2


",0
"From: edm@twisto.compaq.com (Ed McCreary)
Subject: Re: Keeping Spacecraft on after Funding Cuts.
In-Reply-To: nicho@vnet.IBM.COM's message of Fri, 23 Apr 93 09: 06:09 BST
Organization: Compaq Computer Corp
	<1r6aqr$dnv@access.digex.net> <C5w5zJ.HHq@murdoch.acc.Virginia.EDU>
	<19930423.010821.639@almaden.ibm.com>
Lines: 14

>>>>> On Fri, 23 Apr 93 09:06:09 BST, nicho@vnet.IBM.COM (Greg Stewart-Nicholls) said:
GS> How about transferring control to a non-profit organisation that is
GS> able to accept donations to keep craft operational.

I seem to remember NASA considering this for some of the Apollo
equipment left on the moon, but that they decided against it.

Or maybe not...


--
Ed McCreary                                               ,__o
edm@twisto.compaq.com                                   _-\_<, 
""If it were not for laughter, there would be no Tao.""  (*)/'(*)
",1
"From: nsmca@aurora.alaska.edu
Subject: Billboard/Station/Space Dock?
Lines: 24
Nntp-Posting-Host: acad3.alaska.edu
Organization: University of Alaska Fairbanks

Seems that the Mile-Long Billboard and any other inflateble space
object/station or what ever have the same problems. (other than being a little
bit different than the ""normal"" space ideas, such as trusses and shuttles)

But also dag and such.. Why not combine the discussion of how and fesibility to
the same topic?

I personnelly liek the idea of a billboard in space. But problem. How do you
service it? fly a shuttle/DC-1 to near it and then dismount and ""fly"" to it?
Or what?? or havign a special docking section for shuttle/DC-1 docking?

Also what if the billboard springs a leak? Self sealing and such??


Just thinking (okay rambling)..

Also why must the now inflated billboard, not be covered in the inside by a
harder substance (such as a polymer or other agent) and then the now ""hard""
billboard would be a now giant docking structure/space dock/station??

Or am I missing something here.. (probably am!?)
==
Michael Adams, nsmca@acad3.alaska.edu -- I'm not high, just jacked

",1
"From: robink@hparc0.aus.hp.com (Robin Kenny)
Subject: Re: Boom!  Whoosh......
Organization: HP Australasian Response Centre (Melbourne)
X-Newsreader: TIN [version 1.1 PL8.5]
Lines: 26

David Fuzzy Wells (wdwells@nyx.cs.du.edu) wrote:

: I love the idea of an inflatable 1-mile long sign.... It will be a
: really neat thing to see it explode when a bolt  (or even better, a
: Westford Needle!) comes crashing into it at 10 clicks a sec.  

: <BOOM!>  Whooooooooshhhhhh......  <sputter, sputter>

: <okay, PRETEND it would make a sound!>
                 ^^^^^^^^^^^^^^^^^^^^^

Just a thought... (let's pretend it IS INFLATED and PRESSURIZED) wouldn't
there be a large static electricity build up around the puncture?
If the metalization is behind a clear sandwich (ie. insulated) then the 
deflating balloon would generate electrical interference - ""noise""

By the way, any serious high velocity impact would simply cut a ""Bugs
Bunny"" hole through the wall, highly unlikely to ""BOOM"", and the fabric
would almost certainly be ripstop.


Regards,  Robin Kenny - a private and personal opinion, not in any way
                        endorsed, authorised or known by my employers.
 ______________________________________________________________________
   What the heck would I know about Space? I'm stuck at the 
   bottom of this huge gravity well!
",1
